message,subject,complaint_text,intent,category
I selected for English language preference but it's goes into Hindi channel. But customer service executive doesn't understand English properly,,I selected for English language preference but it's goes into Hindi channel. But customer service executive doesn't understand English properly,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Nice,,Nice,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
"Please don't give the chance of local shop/ company,,, they're using the name of Shopzilla & giving worst products... Sell your products like Myntra ( Myntra always send their products)",,"Please don't give the chance of local shop/ company,,, they're using the name of Shopzilla & giving worst products... Sell your products like Myntra ( Myntra always send their products)",Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Thank you   for your valuable time & support,,Thank you for your valuable time & support,Wrong,PRODUCT_ISSUE
Good night,,Good night,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
No,,No,Fraudulent User,SECURITY_CONCERN
Thank you so much,,Thank you so much,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
?? no,,?? no,Service Centres Related,SERVICE_QUALITY
Please provide customer support in regional language like Bengali,,Please provide customer support in regional language like Bengali,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Next time better,,Next time better,Missing,PRODUCT_ISSUE
Very poor service and support,,Very poor service and support,Delayed,DELIVERY_SHIPPING_PROBLEM
Thanks for understanding my problem and helping me out,,Thanks for understanding my problem and helping me out,Fraudulent User,SECURITY_CONCERN
Nk,,Nk,Return request,REFUND_REQUEST
No any response my orderVery bad costumer service,,No any response my orderVery bad costumer service,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Small product is take so much time and my order is ariving 2 aug but suddanly is change to 5 aug,,Small product is take so much time and my order is ariving 2 aug but suddanly is change to 5 aug,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Nice,,Nice,Fraudulent User,SECURITY_CONCERN
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Call disconnect and not provide information proper,,Call disconnect and not provide information proper,Fraudulent User,SECURITY_CONCERN
My issue is not resolved from yesterday.this is not a good thing.if customer issue is not solved quickly then why we don't do shopping from other shopping app where our issue is solved quickly,,My issue is not resolved from yesterday.this is not a good thing.if customer issue is not solved quickly then why we don't do shopping from other shopping app where our issue is solved quickly,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Everything is good ??,,Everything is good ??,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Thanks ??,,Thanks ??,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
I am waiting second item today because today evening my flight please solve that today thanks,,I am waiting second item today because today evening my flight please solve that today thanks,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
"Shopzilla customer service executive   was very helpful,I appreciate her to good future ahead in your company.",,"Shopzilla customer service executive was very helpful,I appreciate her to good future ahead in your company.",General Enquiry,OTHER
No,,No,Refund Enquiry,REFUND_REQUEST
Thankyou so much,,Thankyou so much,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Nyc talkng,,Nyc talkng,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Thanks,,Thanks,Service Centres Related,SERVICE_QUALITY
"You have played around with this order. Without taking customers concern, how can you plan the resolution/pick-up of the products? Don't you have brain to check with the customers availability? Also, no courtesy to atleast reach customer and apologize for the mess created by Shopzilla due to systems failure. Order placed on 8 July and 19 July damaged product delivered. I'm still awaiting for the resolution and refund.",,"You have played around with this order. Without taking customers concern, how can you plan the resolution/pick-up of the products? Don't you have brain to check with the customers availability? Also, no courtesy to atleast reach customer and apologize for the mess created by Shopzilla due to systems failure. Order placed on 8 July and 19 July damaged product delivered. I'm still awaiting for the resolution and refund.",Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Excellent,,Excellent,Exchange / Replacement,PRODUCT_ISSUE
Very nice,,Very nice,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Ok,,Ok,Delayed,DELIVERY_SHIPPING_PROBLEM
Have faith in coustomar,,Have faith in coustomar,Damaged,PRODUCT_ISSUE
One side nit warning,,One side nit warning,Installation/demo,PRODUCT_ISSUE
Please solve the queries,,Please solve the queries,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
No,,No,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Item are too delay of delivery date,,Item are too delay of delivery date,Delayed,DELIVERY_SHIPPING_PROBLEM
10 days order not supply &no payment refund,,10 days order not supply &no payment refund,Refund Related Issues,REFUND_REQUEST
Best,,Best,Product Specific Information,PRODUCT_ISSUE
My issue paylater bill not submited so i talk customer  suppprt nd my issue solve in just min thnx Shopzilla,,My issue paylater bill not submited so i talk customer suppprt nd my issue solve in just min thnx Shopzilla,General Enquiry,OTHER
Problems and concern's Good Understanding and solved.,,Problems and concern's Good Understanding and solved.,Product Specific Information,PRODUCT_ISSUE
My problem is not yet solved,,My problem is not yet solved,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
"I ordered a sleeper which was delivered on 22nd july after that i didn't like its quality so i refunded the last date to pick up the product after refund was 25th july but my product didn't get picked up till 31st july.  And I was consoled to wait only 24 hours for 5 days after talking to the costumer care, even after that no one came for pickup, I felt very sad seeing the return policy of Shopzilla.  That's why I canceled myself last night, first time this happened to me ??",,"I ordered a sleeper which was delivered on 22nd july after that i didn't like its quality so i refunded the last date to pick up the product after refund was 25th july but my product didn't get picked up till 31st july. And I was consoled to wait only 24 hours for 5 days after talking to the costumer care, even after that no one came for pickup, I felt very sad seeing the return policy of Shopzilla. That's why I canceled myself last night, first time this happened to me ??",Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Awful customer support ever,,Awful customer support ever,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good job ??,,Good job ??,Delayed,DELIVERY_SHIPPING_PROBLEM
Happy,,Happy,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
happy costumer support,,happy costumer support,Return cancellation,REFUND_REQUEST
U cal display ur customers support number4 help any customers problem But no display customers care number,,U cal display ur customers support number4 help any customers problem But no display customers care number,Delayed,DELIVERY_SHIPPING_PROBLEM
After delivery of the product take responsibility of the items.,,After delivery of the product take responsibility of the items.,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Reduce time,,Reduce time,General Enquiry,OTHER
Excellent service ??,,Excellent service ??,Delayed,DELIVERY_SHIPPING_PROBLEM
poor customer service,,poor customer service,Return request,REFUND_REQUEST
Happy,,Happy,Invoice request,BILLING_PROBLEM
Very good working,,Very good working,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Make calling more accessible and easily approachable,,Make calling more accessible and easily approachable,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Over all very good,,Over all very good,Delayed,DELIVERY_SHIPPING_PROBLEM
Very good nice bro,,Very good nice bro,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Account updation,ACCOUNT_LOGIN_PROBLEM
Good,,Good,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Failure is the only word for Shopzilla,,Failure is the only word for Shopzilla,Seller Cancelled Order,DELIVERY_SHIPPING_PROBLEM
Very slow and lots of doubts the representative had. Many things on grocery doesn't get returned and only refund is available she said.,,Very slow and lots of doubts the representative had. Many things on grocery doesn't get returned and only refund is available she said.,Fraudulent User,SECURITY_CONCERN
Make sure correct orders get delivered,,Make sure correct orders get delivered,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Thanks,,Thanks,Damaged,PRODUCT_ISSUE
You may need to have frequent conversations with the new startups which are selling products on your platform. You may need to have track on their support / service related issues.,,You may need to have frequent conversations with the new startups which are selling products on your platform. You may need to have track on their support / service related issues.,Service Centres Related,SERVICE_QUALITY
"It will be good, if the customer support had a first hand information and provide to the customer immediately.",,"It will be good, if the customer support had a first hand information and provide to the customer immediately.",Delayed,DELIVERY_SHIPPING_PROBLEM
Very poor,,Very poor,Seller Cancelled Order,DELIVERY_SHIPPING_PROBLEM
The executive was very polite and addressed all my concerns made sure to check-in and see if everything was resolved. It wasgood service. Thank you.,,The executive was very polite and addressed all my concerns made sure to check-in and see if everything was resolved. It wasgood service. Thank you.,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
While any issue we need to contact customer service it's be busy ..pls be in app itself to ....it's be very easy and comfortable,,While any issue we need to contact customer service it's be busy ..pls be in app itself to ....it's be very easy and comfortable,Fraudulent User,SECURITY_CONCERN
wrong product delivered.  i am scared to make further orders on Shopzilla.,,wrong product delivered. i am scared to make further orders on Shopzilla.,Delayed,DELIVERY_SHIPPING_PROBLEM
Well ? done,,Well ? done,Product Specific Information,PRODUCT_ISSUE
Nice,,Nice,Return request,REFUND_REQUEST
Not supportive customer care,,Not supportive customer care,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Your return policy is very bad scant shopping by Shopzilla in future,,Your return policy is very bad scant shopping by Shopzilla in future,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
very helpful,,very helpful,Priority delivery,DELIVERY_SHIPPING_PROBLEM
Tv farzi sab,,Tv farzi sab,Technician Visit,PRODUCT_ISSUE
Nice,,Nice,Installation/demo,PRODUCT_ISSUE
No,,No,Invoice request,BILLING_PROBLEM
Our return request are getting auto canceled three times.  Please avoid this refund the amount.,,Our return request are getting auto canceled three times. Please avoid this refund the amount.,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Im happy with customer service...thanks,,Im happy with customer service...thanks,Product Specific Information,PRODUCT_ISSUE
Best experience provided by Shopzilla customer service,,Best experience provided by Shopzilla customer service,Fraudulent User,SECURITY_CONCERN
"It was difficult to hear the staff , either the microphone was not efficiently working or there was a network issue .",,"It was difficult to hear the staff , either the microphone was not efficiently working or there was a network issue .",Wrong,PRODUCT_ISSUE
I talk to Shopzilla staff before some time but they are very rude but when I talk this time to Shopzilla staff and she is very sweet and understanding and i love her nature thanku for being very kind and sweet.,,I talk to Shopzilla staff before some time but they are very rude but when I talk this time to Shopzilla staff and she is very sweet and understanding and i love her nature thanku for being very kind and sweet.,Return request,REFUND_REQUEST
Query not solved,,Query not solved,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
A customer should be able to change his/her registered mobile number even when the old number is lost.,,A customer should be able to change his/her registered mobile number even when the old number is lost.,Return request,REFUND_REQUEST
Thank you Miss   for resolving my issue.,,Thank you Miss for resolving my issue.,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
He is really nice and solved my problem very nicely .. thank you so much,,He is really nice and solved my problem very nicely .. thank you so much,General Enquiry,OTHER
Sheenesh handling my problem well if I can say something this is it,,Sheenesh handling my problem well if I can say something this is it,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
"Return request was done by me but your delivery partner was not picked up the order, and my request of return was automatically cancelled by Shopzilla. Is not good thing for customer like me and other one. Please make sure that type of issues are not occur again and again.",,"Return request was done by me but your delivery partner was not picked up the order, and my request of return was automatically cancelled by Shopzilla. Is not good thing for customer like me and other one. Please make sure that type of issues are not occur again and again.",Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
"I haven't received the Product, still the delivery boy has shown delivered. See now the communication gap and the status updated.",,"I haven't received the Product, still the delivery boy has shown delivered. See now the communication gap and the status updated.",Delayed,DELIVERY_SHIPPING_PROBLEM
Ghatiya log h Shopzilla vale,,Ghatiya log h Shopzilla vale,Installation/demo,PRODUCT_ISSUE
Don't trying to make fulis peppers,,Don't trying to make fulis peppers,Technician Visit,PRODUCT_ISSUE
"Those who are creating issues, those taking complain and those who are working on complain are completely from different teams and they don't have any sync or level of customer dissatisfaction from customer, however they all are working but not with a goal. This creates frustration in customer, who slowly loose faith with the company.",,"Those who are creating issues, those taking complain and those who are working on complain are completely from different teams and they don't have any sync or level of customer dissatisfaction from customer, however they all are working but not with a goal. This creates frustration in customer, who slowly loose faith with the company.",Delayed,DELIVERY_SHIPPING_PROBLEM
Excellent,,Excellent,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Installation/demo,PRODUCT_ISSUE
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Nice,,Nice,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
"Items missing is a very Bad Taste for the customer who is in need of the material.  Pls work to avoid such issues,  spoiling the reputation of the brand",,"Items missing is a very Bad Taste for the customer who is in need of the material. Pls work to avoid such issues, spoiling the reputation of the brand",Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Customer support executive is very kind hearted,,Customer support executive is very kind hearted,Shopzila Premium Related,SUBSCRIPTION_ISSUE
Good help,,Good help,Product Specific Information,PRODUCT_ISSUE
"Shopzilla your costumer support very bad,,,,,they not capable to resolve my concern,,,,,, please improve your service,,,,and don't fool to people.........I ordered some products on 27 July 2023 ,,,,,but after 4-5 days Shopzilla sent me a message,,,your order cancelled,,,,,,,why Shopzilla sales like this I irritating so much,,,,,,after that I uninstalled Shopzilla app,,,,and shift to SuperBuy ,,,,,",,"Shopzilla your costumer support very bad,,,,,they not capable to resolve my concern,,,,,, please improve your service,,,,and don't fool to people.........I ordered some products on 27 July 2023 ,,,,,but after 4-5 days Shopzilla sent me a message,,,your order cancelled,,,,,,,why Shopzilla sales like this I irritating so much,,,,,,after that I uninstalled Shopzilla app,,,,and shift to SuperBuy ,,,,,",Seller Cancelled Order,DELIVERY_SHIPPING_PROBLEM
Ok,,Ok,Return request,REFUND_REQUEST
My money was deducted and the order is not yet confirmed,,My money was deducted and the order is not yet confirmed,Product Specific Information,PRODUCT_ISSUE
Bad service  customer relative not problem resolve,,Bad service customer relative not problem resolve,Installation/demo,PRODUCT_ISSUE
Excellent,,Excellent,Delayed,DELIVERY_SHIPPING_PROBLEM
"Sellers with No return policy, are sending Incorrect products, incorrect size, poor quality products to customers. Please have a strict rule and sort out them and take action.",,"Sellers with No return policy, are sending Incorrect products, incorrect size, poor quality products to customers. Please have a strict rule and sort out them and take action.",Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Thanks,,Thanks,Product Specific Information,PRODUCT_ISSUE
Mivi policy is not transparent for customer,,Mivi policy is not transparent for customer,Product Specific Information,PRODUCT_ISSUE
Very bad,,Very bad,Installation/demo,PRODUCT_ISSUE
Good,,Good,Fraudulent User,SECURITY_CONCERN
Return policy refurbished need,,Return policy refurbished need,Wrong,PRODUCT_ISSUE
This is good woman manjileka,,This is good woman manjileka,Return request,REFUND_REQUEST
Great services,,Great services,Delayed,DELIVERY_SHIPPING_PROBLEM
Very good service,,Very good service,Missing,PRODUCT_ISSUE
So sweet,,So sweet,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Thank you Shopzilla and thank you Shopzilla customer support,,Thank you Shopzilla and thank you Shopzilla customer support,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Not sastify with service and answers,,Not sastify with service and answers,Wrong,PRODUCT_ISSUE
Thanku Maim,,Thanku Maim,Invoice request,BILLING_PROBLEM
No,,No,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Thanks,,Thanks,Product Specific Information,PRODUCT_ISSUE
Samal kushwaha,,Samal kushwaha,Installation/demo,PRODUCT_ISSUE
"Try to sell authorized products, as duplicate product had seller from your platform",,"Try to sell authorized products, as duplicate product had seller from your platform",Installation/demo,PRODUCT_ISSUE
ache   krke,,ache krke,Return request,REFUND_REQUEST
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Not Needed,REFUND_REQUEST
Good behavior,,Good behavior,Refund Enquiry,REFUND_REQUEST
Nice person,,Nice person,Fraudulent User,SECURITY_CONCERN
Issue still continue,,Issue still continue,Installation/demo,PRODUCT_ISSUE
Cancel order,,Cancel order,Product Specific Information,PRODUCT_ISSUE
"Please, do not do work with bad sellers, who send wrong items and fake products",,"Please, do not do work with bad sellers, who send wrong items and fake products",Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
It treated me very badly.  Why canceled the order after taking my order.  It is very bad practice towards the customer.  This is very bad usage.  I am not taking anything else here..,,It treated me very badly. Why canceled the order after taking my order. It is very bad practice towards the customer. This is very bad usage. I am not taking anything else here..,Seller Cancelled Order,DELIVERY_SHIPPING_PROBLEM
My all doubts solved thak you sir,,My all doubts solved thak you sir,Product Specific Information,PRODUCT_ISSUE
Good best but my amount is not credited my account,,Good best but my amount is not credited my account,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
The most inefficient resolution mechanism,,The most inefficient resolution mechanism,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Thanks Team!,,Thanks Team!,Missing,PRODUCT_ISSUE
Very nice   ??,,Very nice ??,Wrong,PRODUCT_ISSUE
Osm,,Osm,UnProfessional Behaviour,SERVICE_QUALITY
very good person,,very good person,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Very good service,,Very good service,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Online Payment Issues,PAYMENT_TRANSACTION_ISSUE
"Need exchange option again as I clicked \""Reject\"" by mistake during exchange confirmation.",,"Need exchange option again as I clicked \""Reject\"" by mistake during exchange confirmation.",Exchange / Replacement,PRODUCT_ISSUE
Issues resolution fast,,Issues resolution fast,Service Centres Related,SERVICE_QUALITY
Costumers support team is very good,,Costumers support team is very good,Priority delivery,DELIVERY_SHIPPING_PROBLEM
"Very wrost service nobody resolvoed without deliverying product delivery agent updating as product delivered it's absolutely wrong data leakaging without asking pin he has updated like this, what it shows? Till date am unable to connect with him also",,"Very wrost service nobody resolvoed without deliverying product delivery agent updating as product delivered it's absolutely wrong data leakaging without asking pin he has updated like this, what it shows? Till date am unable to connect with him also",UnProfessional Behaviour,SERVICE_QUALITY
Fraud company Shopzilla company,,Fraud company Shopzilla company,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
He was very good in communication and all and i expect to solve my asap thank you,,He was very good in communication and all and i expect to solve my asap thank you,Refund Enquiry,REFUND_REQUEST
Executive was good and professional resolved my query but he was unable to address my doubt about FK services.but overall good ??,,Executive was good and professional resolved my query but he was unable to address my doubt about FK services.but overall good ??,Product Specific Information,PRODUCT_ISSUE
Aplog apan system may sudhar laya nahyto bohat jald apna dukan band,,Aplog apan system may sudhar laya nahyto bohat jald apna dukan band,Fraudulent User,SECURITY_CONCERN
Ok,,Ok,Not Needed,REFUND_REQUEST
Good,,Good,Return request,REFUND_REQUEST
Good experience with Shopzilla,,Good experience with Shopzilla,Service Centres Related,SERVICE_QUALITY
?????? ??????? ??? ???? ????,,?????? ??????? ??? ???? ????,Return request,REFUND_REQUEST
Thanks Shopzilla,,Thanks Shopzilla,Delayed,DELIVERY_SHIPPING_PROBLEM
Mera parcel cancel kar diya,,Mera parcel cancel kar diya,Delayed,DELIVERY_SHIPPING_PROBLEM
I am happy with customer service,,I am happy with customer service,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Very good mam,,Very good mam,Missing,PRODUCT_ISSUE
Good,,Good,Installation/demo,PRODUCT_ISSUE
Very good voice,,Very good voice,Wallet related,PAYMENT_TRANSACTION_ISSUE
Recently I talk to the customer support service your behaviour of your employee was soo polite and mannerful hats of to you man thanks for solving my problem stay blessed ??,,Recently I talk to the customer support service your behaviour of your employee was soo polite and mannerful hats of to you man thanks for solving my problem stay blessed ??,Not Needed,REFUND_REQUEST
Vary good,,Vary good,Wrong,PRODUCT_ISSUE
I don't like chat bot,,I don't like chat bot,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Plz refund immediately,,Plz refund immediately,Refund Related Issues,REFUND_REQUEST
I look some scarcity of clarity in coustomer problem solutions. it has take much time. Please make it more easy for customers. So it make helpful for customers.Thankyou,,I look some scarcity of clarity in coustomer problem solutions. it has take much time. Please make it more easy for customers. So it make helpful for customers.Thankyou,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Thank you sir,,Thank you sir,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Front end support executives don't know what to do when we ask for solution,,Front end support executives don't know what to do when we ask for solution,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Mujhe baat kerke achAa lga,,Mujhe baat kerke achAa lga,Customer Requested Modifications,DELIVERY_SHIPPING_PROBLEM
No,,No,Account updation,ACCOUNT_LOGIN_PROBLEM
Good,,Good,Product Specific Information,PRODUCT_ISSUE
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Thank you   ji,,Thank you ji,General Enquiry,OTHER
Nice service,,Nice service,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Shopzilla is very very....poor service provider ??,,Shopzilla is very very....poor service provider ??,Delayed,DELIVERY_SHIPPING_PROBLEM
Nice customer service,,Nice customer service,Fraudulent User,SECURITY_CONCERN
This is disgusting....worst....not solve my problem....and customer support executive talk in unmanned way.....,,This is disgusting....worst....not solve my problem....and customer support executive talk in unmanned way.....,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Thanku,,Thanku,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Fraudulent User,SECURITY_CONCERN
Everything ok,,Everything ok,Not Needed,REFUND_REQUEST
Product cancelled without any information and got feed that u have rehected the delivery,,Product cancelled without any information and got feed that u have rehected the delivery,Seller Cancelled Order,DELIVERY_SHIPPING_PROBLEM
Shopping made easyThanks Shopzilla,,Shopping made easyThanks Shopzilla,Product Specific Information,PRODUCT_ISSUE
Sir I have ordered two libas kurtas and wrong product send by seller in both the parcels . As per my complaint Only one parcel is showing for refund and I want my total money of two parcels .,,Sir I have ordered two libas kurtas and wrong product send by seller in both the parcels . As per my complaint Only one parcel is showing for refund and I want my total money of two parcels .,Return request,REFUND_REQUEST
Nice,,Nice,Delayed,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Signup Issues,ACCOUNT_LOGIN_PROBLEM
Kafi achha se mujhe jankari deya.or jadon hi team mere problem per work   Diya.,,Kafi achha se mujhe jankari deya.or jadon hi team mere problem per work Diya.,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Delivery boy was very rude behavior,,Delivery boy was very rude behavior,Product Specific Information,PRODUCT_ISSUE
Good experience,,Good experience,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Good service,,Good service,General Enquiry,OTHER
Good experience with Shopzilla,,Good experience with Shopzilla,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Thanks,,Thanks,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Customer executive was polite and skillful but I'm really not very disappointed with Shopzilla sellers and their post delivery service.,,Customer executive was polite and skillful but I'm really not very disappointed with Shopzilla sellers and their post delivery service.,Account updation,ACCOUNT_LOGIN_PROBLEM
not okay with the product,,not okay with the product,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Maintain product quality,,Maintain product quality,Return request,REFUND_REQUEST
Product must be trustful and worthy.,,Product must be trustful and worthy.,Installation/demo,PRODUCT_ISSUE
Issue not solved,,Issue not solved,Seller Cancelled Order,DELIVERY_SHIPPING_PROBLEM
Very very nice guy .,,Very very nice guy .,Service Centres Related,SERVICE_QUALITY
Good Taking Good behaviour,,Good Taking Good behaviour,Delayed,DELIVERY_SHIPPING_PROBLEM
Best app Shopzilla,,Best app Shopzilla,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Very good jobs ??,,Very good jobs ??,Delayed,DELIVERY_SHIPPING_PROBLEM
Please resolve my issue,,Please resolve my issue,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Fast action pls,,Fast action pls,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Don't allow directly to cancel the order,,Don't allow directly to cancel the order,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good listener and polite behaviour,,Good listener and polite behaviour,Missing,PRODUCT_ISSUE
Refund related policy,,Refund related policy,Product Specific Information,PRODUCT_ISSUE
NYC and good man talking bout me ?,,NYC and good man talking bout me ?,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Thanks,,Thanks,Seller Cancelled Order,DELIVERY_SHIPPING_PROBLEM
My issue has been going on for 48 hours now still unresolved,,My issue has been going on for 48 hours now still unresolved,Exchange / Replacement,PRODUCT_ISSUE
Close the online grocery store if you have restrictions on buyings,,Close the online grocery store if you have restrictions on buyings,Product Specific Information,PRODUCT_ISSUE
good,,good,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Excellent performance,,Excellent performance,Return request,REFUND_REQUEST
"Nice to talk with you Miss  , After some Lil long conversation make me smile on my face with your resolution.Thank you.",,"Nice to talk with you Miss , After some Lil long conversation make me smile on my face with your resolution.Thank you.",Exchange / Replacement,PRODUCT_ISSUE
Solve this issue as soon as possible,,Solve this issue as soon as possible,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Not solved my issue,,Not solved my issue,Exchange / Replacement,PRODUCT_ISSUE
Good behaviour costomer care,,Good behaviour costomer care,General Enquiry,OTHER
Very nice ?? service,,Very nice ?? service,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Issue refund immediately,,Issue refund immediately,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
